pc,total_logons,unique_users,first_seen,last_seen,active_days
PC-3686,1051,24,2010-01-04 07:52:00,2011-05-16 17:59:00,354
PC-3687,775,27,2010-01-04 07:57:00,2011-05-16 17:50:00,346
PC-3695,774,29,2010-01-04 07:10:00,2011-05-16 18:01:00,346
PC-3723,782,26,2010-01-04 07:15:00,2011-05-16 18:15:00,348
PC-3733,1038,28,2010-01-04 07:34:00,2011-05-16 17:37:00,347
PC-3735,1063,27,2010-01-04 08:59:00,2011-05-16 18:00:00,347
PC-3737,1048,26,2010-01-04 08:13:00,2011-05-16 17:29:00,347
PC-3738,784,30,2010-01-04 07:52:00,2011-05-16 17:55:00,348
PC-3742,1038,25,2010-01-04 02:32:51,2011-05-16 17:59:00,346
PC-3752,776,26,2010-01-04 07:55:00,2011-05-16 16:59:00,348
PC-3764,764,23,2010-01-04 05:38:56,2011-05-16 17:35:00,346
PC-3772,1035,25,2010-01-04 07:47:00,2011-05-16 17:49:00,346
PC-3785,724,27,2010-01-04 07:55:00,2011-04-11 16:57:00,323
PC-3791,674,1,2010-01-04 08:06:00,2011-04-29 22:45:15,335
PC-3814,1022,24,2010-01-04 00:04:43,2011-05-16 16:21:00,348
PC-3815,890,25,2010-01-04 07:44:00,2011-05-16 16:00:00,353
PC-3819,1509,27,2010-01-03 07:33:00,2011-05-16 15:51:00,462
PC-3839,780,28,2010-01-04 07:30:00,2011-05-16 18:43:00,346
PC-3842,1455,24,2010-01-02 07:48:00,2011-05-16 18:12:00,495
PC-3845,72,3,2010-01-04 08:15:00,2010-02-05 19:13:00,25
PC-3847,4264,137,2010-01-04 08:48:34,2011-05-13 10:02:26,109
PC-3851,1031,26,2010-01-04 06:45:00,2011-05-16 15:49:00,346
PC-3873,786,29,2010-01-04 08:28:00,2011-05-16 18:28:00,347
PC-3887,754,21,2010-01-04 07:47:00,2011-05-16 18:02:00,346
PC-3907,1052,27,2010-01-04 07:00:00,2011-05-16 16:17:00,349
PC-3922,764,24,2010-01-04 08:27:00,2011-05-16 16:43:00,346
PC-3932,754,20,2010-01-04 09:03:00,2011-05-16 18:14:00,346
PC-3935,780,27,2010-01-04 08:00:00,2011-05-16 16:59:00,348
PC-3942,1095,21,2010-01-04 07:55:00,2011-05-16 19:00:00,353
PC-3947,768,24,2010-01-04 09:09:00,2011-05-16 18:29:00,347
PC-3952,1042,28,2010-01-04 07:57:00,2011-05-16 15:00:00,347
PC-3953,1006,21,2010-01-04 08:21:00,2011-05-16 20:33:00,346
PC-3959,1043,29,2010-01-04 08:30:00,2011-05-16 16:20:00,346
PC-3962,1055,32,2010-01-04 07:47:00,2011-05-16 18:03:00,349
PC-3978,1046,29,2010-01-04 07:03:00,2011-05-16 16:15:00,347
PC-3985,1023,28,2010-01-04 07:59:00,2011-05-16 18:00:00,347
PC-3989,768,26,2010-01-04 07:53:00,2011-05-16 18:04:00,347
PC-3998,770,28,2010-01-04 09:02:00,2011-05-16 21:17:00,346
PC-4000,772,28,2010-01-04 08:09:00,2011-05-16 19:13:00,349
PC-4011,750,24,2010-01-04 07:38:00,2011-05-16 16:58:00,349
PC-4024,491,20,2010-01-04 09:00:00,2010-08-16 21:13:00,158
PC-4030,782,28,2010-01-04 07:36:00,2011-05-16 16:42:00,347
PC-4032,434,24,2010-01-04 07:25:00,2010-09-24 15:29:00,186
PC-4040,826,25,2010-01-04 08:28:00,2011-05-16 18:33:00,372
PC-4071,750,22,2010-01-04 07:59:00,2011-05-16 15:03:00,347
PC-4109,768,29,2010-01-04 08:19:00,2011-05-16 19:32:00,347
PC-4124,25514,264,2010-01-02 06:53:04,2011-05-16 14:41:45,498
PC-4127,1293,28,2010-01-04 08:51:00,2011-05-16 22:30:38,386
PC-4136,768,30,2010-01-04 08:35:00,2011-05-16 15:47:00,349
PC-4155,782,27,2010-01-04 07:53:00,2011-05-16 18:05:00,347
PC-4159,382,16,2010-01-04 07:33:00,2010-09-02 16:42:00,171
PC-4176,774,28,2010-01-04 00:12:17,2011-05-16 22:55:24,346
PC-4195,1018,1,2010-01-04 08:15:00,2011-05-16 16:09:00,349
PC-4204,764,27,2010-01-04 07:49:00,2011-05-16 17:11:00,347
PC-4209,756,22,2010-01-04 07:51:00,2011-05-16 16:59:00,346
PC-4211,422,20,2010-01-04 08:54:00,2010-09-29 18:15:00,189
PC-4233,1051,30,2010-01-04 07:03:00,2011-05-16 17:26:00,347
PC-4243,786,29,2010-01-04 07:56:00,2011-05-16 16:12:00,346
PC-4246,280,11,2010-01-04 09:11:00,2010-05-10 21:11:00,90
PC-4256,630,24,2010-01-04 08:55:00,2011-01-27 16:59:00,272
PC-4259,1120,23,2010-01-04 08:16:00,2011-05-16 16:28:00,350
PC-4275,1162,21,2010-01-02 06:50:00,2011-05-16 17:08:00,400
PC-4289,1020,21,2010-01-04 07:38:00,2011-05-16 16:51:00,346
PC-4328,770,27,2010-01-04 07:46:00,2011-05-16 18:09:00,346
PC-4368,778,29,2010-01-04 07:55:00,2011-05-16 15:58:00,346
PC-4386,748,18,2010-01-04 08:20:00,2011-05-16 18:25:00,349
PC-4390,180,8,2010-01-04 07:58:00,2010-04-28 16:56:00,83
PC-4405,664,23,2010-01-04 07:59:00,2011-03-11 16:07:00,301
PC-4411,784,29,2010-01-04 07:43:00,2011-05-16 15:50:00,346
PC-4418,732,24,2010-01-04 07:07:00,2011-04-29 16:21:00,336
PC-4436,770,25,2010-01-04 07:06:00,2011-05-16 18:22:00,347
PC-4455,754,21,2010-01-04 08:08:00,2011-05-16 17:29:00,346
PC-4469,768,26,2010-01-04 07:59:00,2011-05-16 19:14:00,347
PC-4479,778,29,2010-01-04 07:51:00,2011-05-16 17:54:00,347
PC-4486,766,24,2010-01-04 08:26:00,2011-05-16 18:30:00,348
PC-4518,758,23,2010-01-04 07:33:00,2011-05-16 17:45:00,346
PC-4524,774,27,2010-01-04 06:49:00,2011-05-16 16:04:00,347
PC-4527,678,26,2010-01-04 07:58:00,2011-03-18 18:02:00,306
PC-4534,651,22,2010-01-04 07:48:00,2010-11-02 19:10:00,214
PC-4545,1035,22,2010-01-04 07:20:00,2011-05-16 15:27:00,347
PC-4547,1045,27,2010-01-04 08:15:00,2011-05-16 19:39:00,349
PC-4551,1022,27,2010-01-04 07:47:00,2011-05-16 18:10:00,412
PC-4556,754,21,2010-01-04 07:32:00,2011-05-16 16:46:00,348
PC-4559,1055,26,2010-01-04 08:05:00,2011-05-16 19:23:00,346
PC-4560,792,29,2010-01-04 07:58:00,2011-05-16 17:00:00,347
PC-4577,788,30,2010-01-04 08:08:00,2011-05-16 17:13:00,346
PC-4579,676,29,2010-01-04 08:28:00,2011-03-04 18:40:00,296
PC-4582,1116,26,2010-01-04 07:51:00,2011-05-16 18:58:00,351
PC-4600,760,21,2010-01-04 08:25:00,2011-05-16 16:29:00,346
PC-4621,1040,26,2010-01-04 07:10:00,2011-05-16 15:16:00,349
PC-4633,1043,30,2010-01-04 07:54:00,2011-05-16 15:58:00,347
PC-4659,1154,16,2010-01-02 08:20:00,2011-01-23 19:38:00,383
PC-4667,708,22,2010-01-04 07:07:00,2011-04-06 17:17:00,320
PC-4679,764,26,2010-01-04 07:50:00,2011-05-16 18:12:00,347
PC-4686,792,25,2010-01-04 08:54:00,2011-05-16 18:10:00,348
PC-4690,918,27,2010-01-04 00:42:24,2011-05-16 17:44:00,354
PC-4704,1069,29,2010-01-04 07:08:00,2011-05-16 16:14:00,348
PC-4707,786,28,2010-01-04 07:45:00,2011-05-16 15:44:00,348
PC-4711,134,7,2010-01-04 07:18:00,2010-03-26 15:24:00,60
PC-4722,802,36,2010-01-04 07:51:00,2011-05-16 17:55:00,347
PC-4729,1038,25,2010-01-04 05:57:35,2011-05-16 19:12:00,347
PC-4736,1350,31,2010-01-02 07:37:00,2011-05-16 15:45:00,446
PC-4748,458,22,2010-01-04 07:15:00,2010-10-07 16:16:00,197
PC-4753,672,22,2010-01-04 07:11:00,2011-03-10 18:24:00,300
PC-4761,760,27,2010-01-04 09:14:00,2011-05-16 21:14:00,349
PC-4785,236,9,2010-01-02 07:49:00,2010-05-12 17:00:00,111
PC-4804,812,28,2010-01-04 07:44:00,2011-05-16 17:45:00,347
PC-4835,788,26,2010-01-04 08:54:00,2011-05-16 18:54:00,360
PC-4860,772,28,2010-01-04 07:49:00,2011-05-16 15:59:00,347
PC-4861,1032,24,2010-01-04 07:52:00,2011-05-16 16:09:00,346
PC-4886,1031,22,2010-01-04 07:59:00,2011-05-16 17:14:57,346
PC-4895,782,27,2010-01-04 08:57:00,2011-05-16 17:55:00,349
PC-4905,752,24,2010-01-04 07:44:00,2011-05-16 15:37:00,347
PC-4911,772,23,2010-01-04 07:51:00,2011-05-16 19:15:00,346
PC-4925,428,17,2010-01-04 07:58:54,2010-09-30 18:00:00,191
PC-4952,782,28,2010-01-04 07:38:00,2011-05-16 16:52:00,349
PC-4953,1053,33,2010-01-04 08:48:00,2011-05-16 19:01:00,348
PC-4955,774,28,2010-01-04 07:46:00,2011-05-16 18:02:00,346
PC-4973,1023,23,2010-01-04 09:11:00,2011-05-16 21:14:00,346
PC-4983,882,19,2010-01-04 08:23:00,2011-05-16 18:44:00,354
PC-4984,1041,28,2010-01-04 07:52:00,2011-05-16 17:00:00,346
PC-5002,980,27,2010-01-03 07:54:00,2011-05-16 18:13:00,444
PC-5010,792,25,2010-01-04 07:52:00,2011-05-16 17:58:00,346
PC-5012,780,27,2010-01-04 08:15:00,2011-05-16 18:45:00,346
PC-5015,752,21,2010-01-04 08:22:00,2011-05-16 18:16:00,347
PC-5016,762,23,2010-01-04 09:04:00,2011-05-16 18:18:00,346
PC-5027,760,22,2010-01-04 07:17:08,2011-05-16 15:54:00,346
PC-5028,774,28,2010-01-04 08:24:00,2011-05-16 16:31:00,347
PC-5031,1074,30,2010-01-04 07:45:00,2011-05-16 16:00:00,347
PC-5046,762,24,2010-01-04 08:23:00,2011-05-16 19:25:00,346
PC-5053,692,1,2010-01-04 08:10:00,2011-05-16 16:20:00,346
PC-5061,764,22,2010-01-04 09:08:00,2011-05-16 18:11:00,347
PC-5066,794,30,2010-01-04 09:13:00,2011-05-16 21:38:56,347
PC-5078,8,4,2010-08-12 10:24:02,2010-08-18 14:41:21,2
PC-5081,786,28,2010-01-04 07:59:00,2011-05-16 18:53:00,347
PC-5082,513,12,2010-01-04 07:13:00,2010-09-08 16:24:00,174
PC-5083,450,24,2010-01-04 07:13:56,2010-10-08 18:09:00,196
PC-5087,762,23,2010-01-04 07:14:00,2011-05-16 16:16:00,346
PC-5090,1044,24,2010-01-04 07:59:00,2011-05-16 16:59:00,347
PC-5102,764,25,2010-01-04 07:08:00,2011-05-16 17:13:00,347
PC-5106,1042,26,2010-01-04 07:42:00,2011-05-16 17:49:00,347
PC-5110,758,22,2010-01-04 08:15:00,2011-05-16 20:30:00,347
PC-5117,1048,26,2010-01-04 07:33:00,2011-05-16 15:54:00,346
PC-5118,64,3,2010-01-04 08:15:00,2010-02-12 20:30:00,30
PC-5133,952,1,2010-01-04 08:03:00,2011-05-16 16:09:00,346
PC-5156,889,22,2010-01-02 07:37:00,2010-12-24 15:55:00,296
PC-5162,391,23,2010-01-04 08:49:00,2010-08-26 16:56:00,168
PC-5168,590,26,2010-01-04 07:03:00,2011-01-07 16:16:00,256
PC-5179,1014,1,2010-01-04 07:17:00,2011-05-16 15:28:00,348
PC-5186,692,1,2010-01-04 08:04:00,2011-05-16 16:29:00,346
PC-5242,770,33,2010-01-04 07:13:00,2011-05-16 16:22:00,347
PC-5250,1044,21,2010-01-04 07:45:00,2011-05-16 15:48:00,346
PC-5252,770,26,2010-01-04 07:54:00,2011-05-16 16:56:00,348
PC-5258,1048,32,2010-01-04 08:27:00,2011-05-16 16:23:00,346
PC-5276,748,23,2010-01-04 07:41:00,2011-05-16 15:57:00,347
PC-5282,780,27,2010-01-04 07:38:00,2011-05-16 16:59:00,346
PC-5289,764,24,2010-01-04 07:40:00,2011-05-16 15:57:00,346
PC-5299,746,19,2010-01-04 08:55:00,2011-05-16 19:09:00,346
PC-5312,750,21,2010-01-04 09:05:00,2011-05-16 21:06:00,348
PC-5329,788,27,2010-01-04 07:36:00,2011-05-16 16:48:00,346
PC-5337,1030,24,2010-01-04 07:55:00,2011-05-16 16:51:00,346
PC-5338,784,28,2010-01-04 08:00:00,2011-05-16 16:57:00,347
PC-5343,780,24,2010-01-04 09:01:00,2011-05-16 21:16:00,346
PC-5368,774,24,2010-01-04 07:47:00,2011-05-16 15:50:00,346
PC-5376,1044,25,2010-01-04 07:19:00,2011-05-16 15:41:00,346
PC-5382,770,27,2010-01-04 07:36:00,2011-05-16 17:44:00,346
PC-5383,1048,23,2010-01-04 07:54:00,2011-05-16 17:00:00,355
PC-5388,780,26,2010-01-04 07:53:00,2011-05-16 17:59:00,346
PC-5391,1061,28,2010-01-04 09:09:00,2011-05-16 18:16:00,346
PC-5423,754,21,2010-01-04 07:14:00,2011-05-16 18:04:00,346
PC-5425,780,26,2010-01-04 07:46:00,2011-05-16 20:00:22,347
PC-5454,778,24,2010-01-04 07:43:00,2011-05-16 18:45:00,347
PC-5456,762,23,2010-01-04 07:30:00,2011-05-16 16:45:00,346
PC-5468,1029,24,2010-01-04 07:47:00,2011-05-16 18:07:00,347
PC-5480,770,24,2010-01-04 08:57:00,2011-05-16 17:52:00,346
PC-5502,762,26,2010-01-04 07:15:00,2011-05-16 18:11:00,346
PC-5508,758,22,2010-01-04 02:24:32,2011-05-16 17:23:00,348
PC-5518,754,19,2010-01-04 08:30:00,2011-05-16 18:24:00,346
PC-5552,772,29,2010-01-04 07:45:00,2011-05-16 17:55:00,347
PC-5562,776,28,2010-01-04 07:50:00,2011-05-16 16:56:00,346
PC-5595,772,21,2010-01-04 07:15:00,2011-05-16 15:27:00,346
PC-5599,1006,20,2010-01-04 08:38:00,2011-05-16 18:37:00,346
PC-5611,340,13,2010-01-04 08:50:00,2010-08-12 18:06:00,157
PC-5621,1067,31,2010-01-04 07:58:00,2011-05-16 18:06:00,346
PC-5635,747,23,2010-01-04 07:45:00,2010-12-14 17:15:00,243
PC-5647,1011,24,2010-01-04 08:57:00,2011-05-16 18:05:00,346
PC-5648,1033,26,2010-01-04 08:57:00,2011-05-16 16:54:00,346
PC-5660,764,28,2010-01-04 07:49:00,2011-05-16 17:06:00,347
PC-5673,776,28,2010-01-04 09:13:00,2011-05-16 18:14:00,347
PC-5702,1053,27,2010-01-04 09:06:00,2011-05-16 18:24:00,349
PC-5717,772,24,2010-01-04 09:04:00,2011-05-16 21:27:00,347
PC-5735,692,1,2010-01-04 08:00:00,2011-05-16 16:15:00,346
PC-5758,1440,25,2010-01-02 07:07:00,2011-05-16 18:07:00,488
PC-5762,808,30,2010-01-04 07:52:00,2011-05-16 17:00:00,346
PC-5764,782,26,2010-01-04 08:59:00,2011-05-16 16:57:00,346
PC-5775,524,23,2010-01-04 08:48:00,2010-12-03 18:02:00,236
PC-5781,766,27,2010-01-04 08:48:00,2011-05-16 17:51:00,347
PC-5785,776,29,2010-01-04 08:16:00,2011-05-16 18:21:00,346
PC-5799,510,1,2010-01-04 07:30:00,2011-01-06 15:29:00,255
PC-5820,491,1,2010-01-04 07:28:00,2010-09-10 15:37:00,176
PC-5833,768,22,2010-01-04 05:06:15,2011-05-16 19:00:00,347
PC-5843,651,18,2010-01-04 09:05:00,2010-10-08 18:08:00,199
PC-5845,718,28,2010-01-04 08:19:00,2011-04-11 16:25:00,322
PC-5852,760,25,2010-01-04 07:32:00,2011-05-16 16:43:00,348
PC-5864,756,22,2010-01-04 07:00:00,2011-05-16 18:33:42,347
PC-5866,820,31,2010-01-04 07:26:00,2011-05-16 15:30:00,347
PC-5873,1028,26,2010-01-04 08:31:00,2011-05-16 15:43:00,346
PC-5883,1318,26,2010-01-02 09:00:00,2011-05-16 17:03:00,451
PC-5909,770,25,2010-01-04 00:18:05,2011-05-16 18:55:00,349
PC-5910,782,27,2010-01-04 07:33:00,2011-05-16 17:38:00,346
PC-5920,764,22,2010-01-04 07:04:00,2011-05-16 16:05:00,348
PC-5923,1056,29,2010-01-04 08:14:00,2011-05-16 17:13:00,346
PC-5927,760,23,2010-01-04 07:48:00,2011-05-16 18:50:00,346
PC-5941,1046,25,2010-01-04 08:45:00,2011-05-16 18:05:00,352
PC-5952,786,34,2010-01-04 08:16:00,2011-05-16 16:43:00,346
PC-5977,1035,24,2010-01-04 08:00:00,2011-05-16 17:13:00,346
PC-6009,758,23,2010-01-04 05:29:09,2011-05-16 15:59:00,346
PC-6016,1328,26,2010-01-04 08:00:00,2011-05-16 17:00:00,404
PC-6020,760,26,2010-01-04 08:00:00,2011-05-16 17:21:00,346
PC-6027,796,26,2010-01-04 07:50:00,2011-05-16 16:58:00,346
PC-6031,627,18,2010-01-04 07:55:00,2010-10-15 16:01:00,202
PC-6032,1394,25,2010-01-02 08:18:00,2011-05-16 20:31:00,472
PC-6034,766,24,2010-01-04 07:48:00,2011-05-16 16:04:00,346
PC-6035,774,30,2010-01-04 08:16:00,2011-05-16 16:27:00,346
PC-6055,495,23,2010-01-04 08:22:00,2010-11-03 18:30:00,214
PC-6056,1311,29,2010-01-02 06:49:00,2011-05-16 17:00:00,410
PC-6101,784,26,2010-01-04 08:22:00,2011-05-16 19:29:00,346
PC-6103,552,28,2010-01-04 07:41:00,2010-12-15 16:35:00,243
PC-6105,782,28,2010-01-04 07:35:00,2011-05-16 15:47:00,347
PC-6112,762,24,2010-01-04 08:15:00,2011-05-16 18:36:00,346
PC-6113,1312,27,2010-01-03 08:48:00,2011-05-16 18:07:00,442
PC-6119,772,26,2010-01-04 08:24:00,2011-05-16 19:25:00,347
PC-6156,782,31,2010-01-04 08:04:00,2011-05-16 17:12:00,347
PC-6157,520,22,2010-01-04 07:46:00,2010-12-06 17:07:00,235
PC-6159,776,29,2010-01-04 08:00:00,2011-05-16 16:13:00,347
PC-6163,1316,26,2010-01-02 07:58:00,2011-05-16 19:14:00,450
PC-6165,1024,25,2010-01-04 08:00:00,2011-05-16 15:59:00,346
PC-6173,778,25,2010-01-04 07:50:00,2011-05-16 18:02:00,348
PC-6175,788,30,2010-01-04 07:58:00,2011-05-16 15:51:00,346
PC-6183,758,22,2010-01-04 07:30:00,2011-05-16 17:41:00,346
PC-6184,1640,27,2010-01-02 07:14:00,2011-05-16 18:15:00,491
PC-6194,768,27,2010-01-04 07:59:00,2011-05-16 17:04:00,347
PC-6204,1273,25,2010-01-02 08:29:00,2011-05-16 16:33:00,425
PC-6215,768,25,2010-01-04 08:15:00,2011-05-16 19:43:00,346
PC-6221,1098,29,2010-01-04 09:10:00,2011-05-16 18:08:00,351
PC-6232,1166,23,2010-01-04 08:00:00,2011-05-16 17:05:00,355
PC-6233,1036,26,2010-01-04 07:51:00,2011-05-16 17:09:00,346
PC-6239,1105,26,2010-01-04 07:43:00,2011-05-16 15:45:00,351
PC-6247,770,28,2010-01-04 07:13:00,2011-05-16 17:15:00,346
PC-6249,996,25,2010-01-02 08:47:00,2011-05-16 16:52:00,464
PC-6250,963,1,2010-01-04 08:02:00,2011-05-16 16:10:00,346
PC-6251,690,28,2010-01-04 08:10:00,2011-03-24 17:15:00,310
PC-6255,528,23,2010-01-04 07:45:00,2010-11-24 18:11:00,230
PC-6258,772,29,2010-01-04 08:29:00,2011-05-16 16:27:00,346
PC-6260,772,28,2010-01-04 09:05:00,2011-05-16 18:04:00,347
PC-6263,770,26,2010-01-04 00:39:45,2011-05-16 17:35:00,346
PC-6264,770,24,2010-01-04 09:11:00,2011-05-16 18:27:00,347
PC-6266,758,21,2010-01-04 08:21:00,2011-05-16 20:42:00,347
PC-6269,1037,27,2010-01-04 07:47:00,2011-05-16 16:53:00,347
PC-6282,776,26,2010-01-04 07:47:00,2011-05-16 16:00:00,347
PC-6286,752,24,2010-01-04 07:38:00,2011-05-16 15:56:00,347
PC-6288,768,22,2010-01-04 08:03:00,2011-05-16 17:13:00,347
PC-6301,1235,25,2010-01-04 08:26:00,2011-05-17 04:40:33,382
PC-6305,770,27,2010-01-04 08:25:00,2011-05-16 16:26:00,347
PC-6310,774,27,2010-01-04 07:46:00,2011-05-16 18:57:00,346
PC-6324,812,33,2010-01-04 08:58:00,2011-05-16 18:05:00,346
PC-6349,1056,28,2010-01-04 07:01:00,2011-05-16 17:11:00,347
PC-6377,230,1,2010-01-04 07:24:00,2010-06-11 22:27:10,113
PC-6380,488,27,2010-01-04 08:09:00,2010-10-11 17:11:00,198
PC-6381,772,30,2010-01-04 09:00:00,2011-05-16 18:03:00,347
PC-6382,1175,22,2010-01-04 08:21:00,2011-05-16 19:30:00,384
PC-6390,1054,28,2010-01-04 08:58:00,2011-05-16 18:57:00,346
PC-6402,768,27,2010-01-04 08:30:00,2011-05-16 17:32:00,347
PC-6417,1079,29,2010-01-04 08:18:00,2011-05-16 19:29:00,351
PC-6419,770,27,2010-01-04 07:49:00,2011-05-16 18:09:00,347
PC-6425,240,1,2010-01-04 07:18:00,2010-06-18 21:03:36,118
PC-6477,766,30,2010-01-04 08:30:00,2011-05-16 18:37:00,346
PC-6478,760,23,2010-01-04 07:57:00,2011-05-16 17:59:00,346
PC-6498,766,26,2010-01-04 08:29:00,2011-05-16 16:35:00,346
PC-6499,1044,25,2010-01-04 08:04:00,2011-05-16 17:30:00,347
PC-6519,1068,30,2010-01-04 07:56:00,2011-05-16 16:04:00,346
PC-6523,765,26,2010-01-04 08:24:00,2011-05-16 19:26:00,347
PC-6538,232,10,2010-01-04 08:45:00,2010-06-01 17:09:00,105
PC-6539,1286,28,2010-01-03 07:06:00,2011-05-16 16:12:00,424
PC-6544,762,25,2010-01-04 07:08:00,2011-05-16 16:22:00,347
PC-6566,1023,23,2010-01-04 09:04:00,2011-05-16 18:18:00,347
PC-6581,1030,25,2010-01-04 08:46:00,2011-05-16 19:12:00,346
PC-6601,766,25,2010-01-04 08:20:00,2011-05-16 20:34:43,346
PC-6602,758,24,2010-01-04 07:12:00,2011-05-16 18:14:00,347
PC-6609,1041,28,2010-01-04 07:32:00,2011-05-16 15:45:00,346
PC-6610,772,28,2010-01-04 07:47:00,2011-05-16 16:59:00,346
PC-6612,1034,24,2010-01-04 08:57:00,2011-05-16 16:58:00,347
PC-6621,516,15,2010-01-04 07:48:00,2010-12-09 18:08:00,238
PC-6632,772,25,2010-01-04 08:15:00,2011-05-16 16:19:00,346
PC-6634,692,1,2010-01-04 07:29:00,2011-05-16 15:18:00,346
PC-6637,780,29,2010-01-04 07:37:00,2011-05-16 16:41:00,346
PC-6638,1034,28,2010-01-04 07:53:00,2011-05-16 16:57:00,348
PC-6643,1065,30,2010-01-04 07:18:00,2011-05-16 15:27:00,346
PC-6665,744,21,2010-01-04 08:47:00,2011-05-16 17:59:00,347
PC-6672,226,9,2010-01-02 07:46:00,2010-04-01 18:11:00,76
PC-6681,1030,23,2010-01-04 08:07:00,2011-05-16 17:11:00,348
PC-6688,1081,27,2010-01-04 06:28:21,2011-05-16 19:27:00,349
PC-6692,768,21,2010-01-04 07:32:00,2011-05-16 16:45:00,346
PC-6694,784,30,2010-01-04 07:13:00,2011-05-16 16:15:00,346
PC-6699,874,25,2010-01-02 07:00:00,2011-05-16 17:15:00,401
PC-6706,772,31,2010-01-04 08:25:00,2011-05-16 16:22:00,348
PC-6711,692,1,2010-01-04 07:18:00,2011-05-16 15:29:00,346
PC-6713,1222,28,2010-01-02 07:38:00,2011-05-16 15:55:00,407
PC-6720,452,1,2010-01-04 08:15:00,2010-11-19 16:18:00,226
PC-6741,652,27,2010-01-04 07:45:00,2011-02-21 19:02:00,289
PC-6755,770,27,2010-01-04 07:02:00,2011-05-16 16:30:00,347
PC-6756,1053,27,2010-01-04 08:15:00,2011-05-16 16:26:00,346
PC-6776,802,25,2010-01-04 06:25:02,2011-05-16 16:58:00,348
PC-6779,770,26,2010-01-04 09:08:00,2011-05-16 18:14:00,348
PC-6786,762,22,2010-01-04 08:23:00,2011-05-16 16:33:00,346
PC-6789,790,29,2010-01-04 09:10:00,2011-05-16 21:13:00,346
PC-6793,662,23,2010-01-04 07:09:00,2011-03-04 16:17:00,297
PC-6797,910,27,2010-01-02 07:56:00,2011-05-16 17:58:00,420
PC-6807,784,28,2010-01-04 07:50:00,2011-05-16 17:00:00,347
PC-6809,1062,29,2010-01-04 07:51:00,2011-05-16 16:57:00,346
PC-6824,762,24,2010-01-04 04:44:28,2011-05-16 15:20:00,347
PC-6846,1106,26,2010-01-04 07:08:00,2011-05-16 18:21:00,350
PC-6866,944,23,2010-01-04 09:06:00,2011-05-17 06:43:35,385
PC-6913,1024,22,2010-01-04 07:56:00,2011-05-16 17:00:00,346
PC-6933,765,25,2010-01-04 07:02:00,2011-05-16 18:10:14,346
PC-6956,744,23,2010-01-04 07:42:28,2011-05-16 18:30:00,347
PC-6960,778,31,2010-01-04 07:55:00,2011-05-16 17:58:00,346
PC-6971,770,26,2010-01-04 07:59:00,2011-05-16 18:13:00,348
PC-6980,710,24,2010-01-04 09:06:00,2011-04-05 18:28:00,319
PC-6985,770,27,2010-01-04 07:02:00,2011-05-16 16:10:00,347
PC-6988,776,27,2010-01-04 08:04:00,2011-05-16 17:25:00,346
PC-7007,778,27,2010-01-04 08:13:00,2011-05-16 17:27:00,346
PC-7019,776,24,2010-01-04 07:12:00,2011-05-16 17:13:00,348
PC-7029,954,31,2010-01-04 08:17:00,2011-05-16 16:37:00,358
PC-7031,1040,24,2010-01-04 08:53:00,2011-05-16 18:57:00,347
PC-7039,1041,22,2010-01-04 08:54:00,2011-05-16 18:56:00,346
PC-7052,770,24,2010-01-04 02:42:38,2011-05-16 18:51:00,346
PC-7082,786,28,2010-01-04 09:01:00,2011-05-16 18:26:00,347
PC-7088,1295,29,2010-01-03 07:45:00,2011-05-16 17:42:00,430
PC-7091,768,31,2010-01-04 08:21:00,2011-05-16 18:42:00,347
PC-7102,774,26,2010-01-04 08:29:00,2011-05-16 16:28:00,347
PC-7107,770,24,2010-01-04 08:00:00,2011-05-16 19:08:00,349
PC-7109,786,28,2010-01-04 07:44:00,2011-05-16 15:45:00,346
PC-7145,787,25,2010-01-04 07:49:00,2011-01-12 18:55:00,261
PC-7146,766,24,2010-01-04 07:12:00,2011-05-16 17:11:00,346
PC-7160,768,25,2010-01-04 08:26:00,2011-05-16 19:27:00,346
PC-7162,754,22,2010-01-04 08:54:00,2011-05-16 17:56:00,346
PC-7174,770,30,2010-01-04 07:10:00,2011-05-16 17:22:00,346
PC-7188,1487,26,2010-01-02 07:00:00,2011-05-17 06:23:48,479
PC-7206,604,29,2010-01-04 08:05:00,2011-01-20 17:28:00,265
PC-7207,772,23,2010-01-04 07:59:00,2011-05-16 18:09:00,348
PC-7219,1055,33,2010-01-04 07:10:00,2011-05-16 19:12:53,346
PC-7236,1140,22,2010-01-04 07:38:00,2011-05-16 15:51:00,355
PC-7238,1030,22,2010-01-04 07:07:00,2011-05-16 18:13:00,348
PC-7243,760,23,2010-01-04 07:50:00,2011-05-16 16:52:00,348
PC-7264,772,27,2010-01-04 07:53:00,2011-05-16 17:56:00,347
PC-7275,1125,26,2010-01-04 06:11:41,2011-05-16 17:00:00,375
PC-7295,541,18,2010-01-03 08:15:00,2010-07-19 19:08:00,176
PC-7309,780,30,2010-01-04 07:28:00,2011-05-16 18:23:00,347
PC-7310,1048,28,2010-01-04 08:19:00,2011-05-16 18:29:00,346
PC-7311,766,29,2010-01-04 00:24:51,2011-05-16 18:34:00,347
PC-7342,788,25,2010-01-04 07:40:00,2011-05-16 17:44:00,347
PC-7343,768,25,2010-01-04 07:48:00,2011-05-16 17:12:00,347
PC-7345,686,20,2010-01-04 07:50:00,2010-11-23 18:04:00,229
